gene_id	pathway_id	pathway_name
HORVU.MOREX.r3.1HG0035920	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.2HG0100570	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.2HG0101230	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.3HG0327750	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.6HG0541120	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.6HG0556530	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.6HG0607710	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.6HG0620230	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.7HG0726600	GO:0000123	histone acetyltransferase complex
HORVU.MOREX.r3.1HG0000660	GO:0000124	SAGA complex
HORVU.MOREX.r3.1HG0034140	GO:0000124	SAGA complex
HORVU.MOREX.r3.2HG0119100	GO:0000124	SAGA complex
HORVU.MOREX.r3.2HG0125890	GO:0000124	SAGA complex
HORVU.MOREX.r3.2HG0158660	GO:0000124	SAGA complex
HORVU.MOREX.r3.2HG0202500	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0220910	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0297940	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0298020	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0300830	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0302110	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0310390	GO:0000124	SAGA complex
HORVU.MOREX.r3.3HG0316280	GO:0000124	SAGA complex
HORVU.MOREX.r3.4HG0342400	GO:0000124	SAGA complex
HORVU.MOREX.r3.4HG0402700	GO:0000124	SAGA complex
HORVU.MOREX.r3.5HG0439610	GO:0000124	SAGA complex
HORVU.MOREX.r3.5HG0446330	GO:0000124	SAGA complex
HORVU.MOREX.r3.5HG0450920	GO:0000124	SAGA complex
HORVU.MOREX.r3.5HG0481690	GO:0000124	SAGA complex
HORVU.MOREX.r3.6HG0572590	GO:0000124	SAGA complex
HORVU.MOREX.r3.7HG0667330	GO:0000124	SAGA complex
HORVU.MOREX.r3.7HG0743140	GO:0000124	SAGA complex
HORVU.MOREX.r3.1HG0068660	GO:0000126	transcription factor TFIIIB complex
HORVU.MOREX.r3.3HG0236160	GO:0000126	transcription factor TFIIIB complex
HORVU.MOREX.r3.5HG0483900	GO:0000126	transcription factor TFIIIB complex
