gene_id	gene_name	description
HORVU.MOREX.r3.7HG0707920	NA	NA
HORVU.MOREX.r3.3HG0252370	NA	NA
HORVU.MOREX.r3.2HG0172120	NA	NA
HORVU.MOREX.r3.7HG0719430	NA	NA
HORVU.MOREX.r3.2HG0124660	NA	NA
HORVU.MOREX.r3.7HG0718760	NA	NA
HORVU.MOREX.r3.7HG0667790	NA	NA
HORVU.MOREX.r3.5HG0428290	NA	NA
HORVU.MOREX.r3.7HG0649690	NA	NA
HORVU.MOREX.r3.UnG0788480	NA	NA
HORVU.MOREX.r3.7HG0655590	NA	NA
HORVU.MOREX.r3.5HG0528540	NA	NA
HORVU.MOREX.r3.7HG0675370	NA	NA
HORVU.MOREX.r3.7HG0689890	NA	NA
HORVU.MOREX.r3.6HG0573760	NA	NA
HORVU.MOREX.r3.1HG0052060	NA	NA
HORVU.MOREX.r3.6HG0615210	NA	NA
HORVU.MOREX.r3.2HG0178660	NA	NA
HORVU.MOREX.r3.4HG0355830	NA	NA
HORVU.MOREX.r3.5HG0462190	NA	NA
HORVU.MOREX.r3.5HG0462720	NA	NA
HORVU.MOREX.r3.7HG0677070	NA	NA
HORVU.MOREX.r3.6HG0632680	NA	NA
HORVU.MOREX.r3.5HG0510670	NA	NA
HORVU.MOREX.r3.3HG0224600	NA	NA
HORVU.MOREX.r3.3HG0255030	NA	NA
HORVU.MOREX.r3.1HG0093390	NA	NA
HORVU.MOREX.r3.6HG0633520	NA	NA
HORVU.MOREX.r3.5HG0523800	NA	NA
HORVU.MOREX.r3.3HG0218390	NA	NA
HORVU.MOREX.r3.3HG0283550	NA	NA
HORVU.MOREX.r3.3HG0309850	NA	NA
HORVU.MOREX.r3.4HG0358540	NA	NA
HORVU.MOREX.r3.1HG0057590	NA	NA
HORVU.MOREX.r3.6HG0630610	NA	NA
HORVU.MOREX.r3.2HG0121820	NA	NA
HORVU.MOREX.r3.1HG0084780	NA	NA
HORVU.MOREX.r3.4HG0378120	NA	NA
HORVU.MOREX.r3.2HG0205770	NA	NA
HORVU.MOREX.r3.1HG0005390	NA	NA
HORVU.MOREX.r3.6HG0616940	NA	NA
HORVU.MOREX.r3.2HG0198190	NA	NA
HORVU.MOREX.r3.1HG0006820	NA	NA
HORVU.MOREX.r3.2HG0215410	NA	NA
HORVU.MOREX.r3.4HG0356860	NA	NA
HORVU.MOREX.r3.2HG0195500	NA	NA
HORVU.MOREX.r3.1HG0025100	NA	NA
HORVU.MOREX.r3.5HG0425430	NA	NA
HORVU.MOREX.r3.6HG0540870	NA	NA
HORVU.MOREX.r3.5HG0501820	NA	NA
HORVU.MOREX.r3.5HG0531010	NA	NA
HORVU.MOREX.r3.3HG0247750	NA	NA
